Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,Rainfall_Category,Growing_Degree_Days,Temperature_Category,Pesticide_Category,Rainfall_Temp_Ratio,Yield_per_Pesticide
Albania,Maize,1990,36613,1485.0,121.0,16.37,High,6.370000000000001,Moderate,Low,90.71472205253512,300.10655737704917
Albania,Potatoes,1990,66667,1485.0,121.0,16.37,High,6.370000000000001,Moderate,Low,90.71472205253512,546.4508196721312
Albania,"Rice, paddy",1990,23333,1485.0,121.0,16.37,High,6.370000000000001,Moderate,Low,90.71472205253512,191.25409836065575
Albania,Sorghum,1990,12500,1485.0,121.0,16.37,High,6.370000000000001,Moderate,Low,90.71472205253512,102.45901639344262
Albania,Soybeans,1990,7000,1485.0,121.0,16.37,High,6.370000000000001,Moderate,Low,90.71472205253512,57.377049180327866
Albania,Wheat,1990,30197,1485.0,121.0,16.37,High,6.370000000000001,Moderate,Low,90.71472205253512,247.51639344262296
Albania,Maize,1991,29068,1485.0,121.0,15.36,High,5.359999999999999,Moderate,Low,96.6796875,238.2622950819672
Albania,Potatoes,1991,77818,1485.0,121.0,15.36,High,5.359999999999999,Moderate,Low,96.6796875,637.8524590163935
Albania,"Rice, paddy",1991,28538,1485.0,121.0,15.36,High,5.359999999999999,Moderate,Low,96.6796875,233.91803278688525
Albania,Sorghum,1991,6667,1485.0,121.0,15.36,High,5.359999999999999,Moderate,Low,96.6796875,54.64754098360656
Albania,Soybeans,1991,6066,1485.0,121.0,15.36,High,5.359999999999999,Moderate,Low,96.6796875,49.721311475409834
Albania,Wheat,1991,20698,1485.0,121.0,15.36,High,5.359999999999999,Moderate,Low,96.6796875,169.65573770491804
Albania,Maize,1992,24876,1485.0,121.0,16.06,High,6.059999999999999,Moderate,Low,92.46575342465754,203.9016393442623
Albania,Potatoes,1992,82920,1485.0,121.0,16.06,High,6.059999999999999,Moderate,Low,92.46575342465754,679.672131147541
Albania,"Rice, paddy",1992,40000,1485.0,121.0,16.06,High,6.059999999999999,Moderate,Low,92.46575342465754,327.8688524590164
Albania,Sorghum,1992,3747,1485.0,121.0,16.06,High,6.059999999999999,Moderate,Low,92.46575342465754,30.71311475409836
Albania,Soybeans,1992,4507,1485.0,121.0,16.06,High,6.059999999999999,Moderate,Low,92.46575342465754,36.942622950819676
Albania,Wheat,1992,24388,1485.0,121.0,16.06,High,6.059999999999999,Moderate,Low,92.46575342465754,199.9016393442623
Albania,Maize,1993,24185,1485.0,121.0,16.05,High,6.050000000000001,Moderate,Low,92.5233644859813,198.2377049180328
Albania,Potatoes,1993,98446,1485.0,121.0,16.05,High,6.050000000000001,Moderate,Low,92.5233644859813,806.9344262295082
Albania,"Rice, paddy",1993,41786,1485.0,121.0,16.05,High,6.050000000000001,Moderate,Low,92.5233644859813,342.5081967213115
Albania,Soybeans,1993,7998,1485.0,121.0,16.05,High,6.050000000000001,Moderate,Low,92.5233644859813,65.55737704918033
Albania,Wheat,1993,29976,1485.0,121.0,16.05,High,6.050000000000001,Moderate,Low,92.5233644859813,245.70491803278688
Albania,Maize,1994,25848,1485.0,201.0,16.96,High,6.960000000000001,Moderate,Low,87.55896226415094,127.96039603960396
Albania,Potatoes,1994,81404,1485.0,201.0,16.96,High,6.960000000000001,Moderate,Low,87.55896226415094,402.990099009901
Albania,Soybeans,1994,7927,1485.0,201.0,16.96,High,6.960000000000001,Moderate,Low,87.55896226415094,39.242574257425744
Albania,Wheat,1994,24745,1485.0,201.0,16.96,High,6.960000000000001,Moderate,Low,87.55896226415094,122.5
Albania,Maize,1995,31300,1485.0,251.0,15.67,High,5.67,Moderate,Low,94.76707083599234,124.2063492063492
Albania,Potatoes,1995,111323,1485.0,251.0,15.67,High,5.67,Moderate,Low,94.76707083599234,441.7579365079365
Albania,Soybeans,1995,11791,1485.0,251.0,15.67,High,5.67,Moderate,Low,94.76707083599234,46.78968253968254
Albania,Wheat,1995,28703,1485.0,251.0,15.67,High,5.67,Moderate,Low,94.76707083599234,113.90079365079364
Albania,Maize,1996,32604,1485.0,313.96,15.64,High,5.640000000000001,Moderate,Low,94.94884910485933,103.51790703581408
Albania,Potatoes,1996,106138,1485.0,313.96,15.64,High,5.640000000000001,Moderate,Low,94.94884910485933,336.988823977648
Albania,Soybeans,1996,15480,1485.0,313.96,15.64,High,5.640000000000001,Moderate,Low,94.94884910485933,49.1490982981966
Albania,Wheat,1996,21741,1485.0,313.96,15.64,High,5.640000000000001,Moderate,Low,94.94884910485933,69.02781305562611
Albania,Maize,1997,31862,1485.0,376.93,15.9,High,5.9,Moderate,Low,93.39622641509433,84.30661762760299
Albania,Potatoes,1997,109874,1485.0,376.93,15.9,High,5.9,Moderate,Low,93.39622641509433,290.7257957822877
